longitude,latitude,velocity
115.1125,40.5825,0.0
115.1175,40.5825,0.0
115.1075,40.5825,0.0
115.1025,40.5825,0.0
115.0975,40.5825,0.0
115.0925,40.5825,0.0
115.0925,40.5775,0.0
115.0975,40.5775,0.0
115.1025,40.5775,0.0
115.1075,40.5775,0.0
115.1125,40.5775,0.0
115.1175,40.5775,0.0
115.0875,40.5775,0.0
115.0825,40.5775,0.0
115.0775,40.5775,0.0
115.0725,40.5775,0.0
115.0675,40.5775,0.0
115.0625,40.5775,0.0
115.0575,40.5775,0.0
115.0575,40.5725,0.0
115.0625,40.5725,0.0
115.0675,40.5725,0.0
115.0725,40.5725,0.0
115.0775,40.5725,0.0
115.0825,40.5725,0.0
115.0875,40.5725,0.0
115.0925,40.5725,0.0
115.0975,40.5725,0.0
115.1025,40.5725,0.0
115.1075,40.5725,0.0
115.1125,40.5725,0.0
115.1175,40.5725,0.0
115.05250000000001,40.5725,0.0
115.0475,40.5725,0.0
115.0425,40.5725,0.0
115.03750000000001,40.5725,0.0
115.0325,40.5725,0.0
115.0275,40.5725,0.0
115.02250000000001,40.5725,0.0
115.02250000000001,40.5675,0.0
115.0275,40.5675,0.0
115.0325,40.5675,0.0
115.03750000000001,40.5675,0.0
115.0425,40.5675,0.0
115.0475,40.5675,0.0
115.05250000000001,40.5675,0.0
115.0575,40.5675,0.0
115.0625,40.5675,0.0
115.0675,40.5675,0.0
115.0725,40.5675,0.0
115.0775,40.5675,0.0
115.0825,40.5675,0.0
115.0875,40.5675,0.0
115.0925,40.5675,0.0
115.0975,40.5675,0.0
115.1025,40.5675,0.0
115.1075,40.5675,0.0
115.1125,40.5675,0.0
115.1175,40.5675,0.0
115.0175,40.5675,0.0
115.0125,40.5675,0.0
115.00750000000001,40.5675,0.0
115.0025,40.5675,0.0
114.9975,40.5675,0.0
115.1225,40.5675,0.0
114.9925,40.5675,0.0
114.9875,40.5675,0.0
114.9825,40.5675,0.0
114.9825,40.5625,0.0
114.9875,40.5625,0.0
114.9925,40.5625,0.0
114.9975,40.5625,0.0
115.0025,40.5625,0.0
115.00750000000001,40.5625,0.0
115.0125,40.5625,0.0
115.0175,40.5625,0.0
115.02250000000001,40.5625,0.0
115.0275,40.5625,0.0
115.0325,40.5625,0.0
115.03750000000001,40.5625,0.0
115.0425,40.5625,0.0
115.0475,40.5625,0.0
115.05250000000001,40.5625,0.0
115.0575,40.5625,0.0
115.0625,40.5625,0.0
115.0675,40.5625,0.0
115.0725,40.5625,0.0
115.0775,40.5625,0.0
115.0825,40.5625,0.0
115.0875,40.5625,0.0
115.0925,40.5625,0.0
115.0975,40.5625,0.0
115.1025,40.5625,0.0
115.1075,40.5625,0.0
115.1125,40.5625,0.0
115.1175,40.5625,0.0
115.1225,40.5625,0.0
114.9775,40.5625,0.0
114.9725,40.5625,0.0
114.9675,40.5625,0.0
114.9625,40.5625,0.0
114.9575,40.5625,0.0
114.9525,40.5625,0.0
114.9475,40.5625,0.0
114.9475,40.5575,0.0
114.9525,40.5575,0.0
114.9575,40.5575,0.0
114.9625,40.5575,0.0
114.9675,40.5575,0.0
114.9725,40.5575,0.0
114.9775,40.5575,0.0
114.9825,40.5575,0.0
114.9875,40.5575,0.0
114.9925,40.5575,0.0
114.9975,40.5575,0.0
115.0025,40.5575,0.0
115.00750000000001,40.5575,0.0
115.0125,40.5575,0.0
115.0175,40.5575,0.0
115.02250000000001,40.5575,0.0
115.0275,40.5575,0.0
115.0325,40.5575,0.0
115.03750000000001,40.5575,0.0
115.0425,40.5575,0.0
115.0475,40.5575,0.0
115.05250000000001,40.5575,0.0
115.0575,40.5575,0.0
115.0625,40.5575,0.0
115.0675,40.5575,0.0
115.0725,40.5575,0.0
115.0775,40.5575,0.0
115.0825,40.5575,0.0
115.0875,40.5575,0.0
115.0925,40.5575,0.0
115.0975,40.5575,0.0
115.1025,40.5575,0.0
115.1075,40.5575,0.0
115.1125,40.5575,0.0
115.1175,40.5575,0.0
115.1225,40.5575,0.0
114.9425,40.5575,0.0
114.9375,40.5575,0.0
114.9325,40.5575,0.0
114.92750000000001,40.5575,0.0
114.9225,40.5575,0.0
114.9175,40.5575,0.0
114.91250000000001,40.5575,0.0
